montage_32ch_row,channel_name,matched_64_row,mapped_name,dist_mm
1,Fp1,0,Fp1,0.0
2,F3,4,F3,0.0
3,F7,6,F7,0.0
4,FT9,7,FT7,0.0
5,FC5,8,FC5,0.0
6,FC1,10,FC1,0.0
7,C3,12,C3,0.0
8,T7,14,T7,0.0
9,Fp2,33,Fp2,0.0
10,F4,39,F4,0.0
11,F8,41,F8,0.0
12,FT10,42,FT8,0.0
13,FC6,43,FC6,0.0
14,FC2,45,FC2,0.0
15,C4,49,C4,0.0
16,T8,51,T8,0.0
17,Fz,37,Fz,0.0
18,Pz,30,Pz,0.0
19,TP9,23,P9,0.0
20,CP5,16,CP5,0.0
21,Cz,47,Cz,0.0
22,Oz,28,Oz,0.0
23,TP10,60,P10,0.0
24,CP6,53,CP6,0.0
25,CP1,18,CP1,0.0
26,P3,20,P3,0.0
27,P7,22,P7,0.0
28,O1,26,O1,0.0
29,CP2,55,CP2,0.0
30,P4,57,P4,0.0
31,P8,59,P8,0.0
32,O2,63,O2,0.0
